"","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el9","el11","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","ih1","mh4","es1a","es1b","es2","es3","SAMP_WEIGHT","POP_WEIGHT","leave_type","leave_weeks","unpaid_leave_weeks","pct_unpaid","partner","education","race","job_type","unemploy_reason","zipcode","d4_2","bf1_1"
"229",3,11,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,1,1.81322058037199,184.829096149376,NA,NA,NA,NA,"Co-parent","No high school degree","Asian",NA,NA,"11223",NA,"Months"
"230",1,5,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,2,0.748143981368639,76.2614197979118,NA,NA,NA,NA,"Co-parent","High school degree/GED","American Indian/AN",NA,NA,"11420",NA,"Months"
"231",1,9,1,2,3,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,77,2,1,NA,NA,NA,NA,NA,NA,1,1,4,4,2,12,0.793413894957552,80.8759698984201,"Unpaid",48,NA,NA,"Co-parent","Four year college or higher","White","Private","Fired related to pregnancy or maternity leave","19096",NA,"Months"
"232",3,8,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,1,3,1.81322058037199,184.829096149376,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,"11209",NA,"Months"
"233",1,12,1,2,2,1,NA,NA,NA,1,1,"1",0,2,11,0,0,1,1,NA,1,2,2,2,1,1,1,3,4,4,2,9,0.859057568610715,87.5673018855904,"Paid",11,0,0,"Co-parent","Four year college or higher","White","Private",NA,"10312",NA,"Months"
"234",1,11,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,1,77,1.44645789982545,147.443454556431,NA,NA,NA,NA,"Single Parent","No high school degree","Black/African American",NA,NA,"10453",NA,"Months"
"235",1,9,1,1,2,1,NA,NA,NA,1,1,"3",2,6,0,12,0,1,2,4,NA,NA,NA,NA,NA,NA,1,1,4,4,2,11,0.431313797581847,43.965604751438,"Both",12,12,100,"Co-parent","Four year college or higher","White","Private","No affordable childcare","11377",NA,"Months"
"236",1,8,1,1,2,1,NA,NA,NA,1,1,"3",77,0,0,77,77,1,1,NA,1,2,1,1,2,2,1,1,3,3,1,8,0.580819939412849,59.2053860348247,"Both",6,NA,NA,"Co-parent","Some college or technical school","White","Private",NA,"11219",NA,"Months"
"237",1,11,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,2,1,NA,2,2,2,1,1,2,3,3,4,4,2,1,1.52342434765244,155.288963889208,"Unpaid",28,NA,NA,"Co-parent","Some college or technical school","Black/African American","Self-employed",NA,"11412",NA,"Months"
"238",2,10,1,2,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,1,4,NA,1,1,1,2,1,2,3,3,1,1,2,2,0.733217226207375,74.7398737186513,"Unpaid",6,NA,NA,"Co-parent","Some college or technical school","Black/African American","Private",NA,"11217",NA,"Months"
"239",3,4,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,2,2,1,1,1,2,3,4,2,1,0.451671120373036,46.0407111186648,"Unpaid",12,NA,NA,"Co-parent","Some college or technical school","Hispanic","Private",NA,"10023",NA,"Months"
"240",1,12,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,2,10,1.16995823850022,119.25869698112,NA,NA,NA,NA,"Co-parent","Four year college or higher","Hispanic",NA,NA,"11368",NA,"Months"
"241",3,3,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,77,2.62839770390117,267.923482223815,NA,NA,NA,NA,"Co-parent","Some college or technical school","Other",NA,NA,"11219",NA,"Months"
"242",3,7,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,2,1,1.77657220691322,181.093375401965,NA,NA,NA,NA,"Co-parent","Four year college or higher","Black/African American",NA,NA,"11379",NA,"Months"
"243",1,7,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,2,1,0.678486788950031,69.1609731923514,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11212",NA,"Weeks"
"244",3,3,1,2,3,1,NA,NA,NA,1,1,"3",0,8,8,8,0,1,1,NA,1,2,2,1,1,2,2,3,2,4,2,4,0.689211100675519,70.2541467777954,"Both",16,8,50,"Single Parent","Some college or technical school","Black/African American",NA,NA,"11208",NA,"Months"
"245",3,12,1,2,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,3,2,4,2,77,1.7234883137073,175.682313941739,"Unpaid",48,NA,NA,"Co-parent","Four year college or higher","Hispanic","Private","Chose to stay-at-home","10031",NA,"Months"
"246",1,9,2,2,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,2,1,1,2,1,2,4,4,2,12,0.416874006372257,42.4936969280078,"Unpaid",12,NA,NA,"Single Parent","Four year college or higher","Other","Government",NA,"11238",NA,"Months"
"247",1,1,1,1,2,1,NA,NA,NA,1,1,"1",3,6,3,0,0,2,1,NA,2,2,2,2,1,2,1,1,4,4,2,12,0.275607247773807,28.0937901597165,"Paid",12,0,0,"Co-parent","Four year college or higher","Black/African American","Private",NA,"10012",NA,"Months"
"248",2,2,1,1,3,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,99,99,99,99,99,99,1,2,4,4,2,12,0.939657525344752,95.7831898553678,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","Other","Self-employed",NA,"10024",NA,"Months"
"249",1,2,1,1,3,1,NA,NA,NA,1,1,"1",1,11,0,0,0,1,1,NA,1,2,2,2,1,2,1,1,4,4,2,12,1.21739959035634,124.09459079271,"Paid",12,0,0,"Co-parent","Four year college or higher","White","Private",NA,"10034",4,"Months"
"250",1,11,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,1,2,2,2,3,4,4,2,4,0.902737924821866,92.0198218080886,"Unpaid",4,NA,NA,"Single Parent","Some college or technical school","Asian","Private",NA,"11219",NA,"Still breastfeeding"
"251",2,10,1,2,3,2,2,2,2,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,2,1,2,1,3,4,4,2,4,0.699144965408656,71.2667468220323,"Unpaid",10,NA,NA,"Single Parent","High school degree/GED","White","Private",NA,"11378",NA,"Months"
"252",2,4,1,1,2,1,NA,NA,NA,1,1,"1",1,0,12,0,0,1,4,NA,2,1,2,2,2,2,1,2,4,4,2,12,0.720958035373122,73.4902435379962,"Paid",13,0,0,"Co-parent","Four year college or higher","White","Private",NA,"17837",NA,"Months"
"253",3,6,1,1,2,1,NA,NA,NA,1,1,"3",0,6,0,0,0,1,1,NA,1,1,1,2,2,1,1,3,4,4,2,5,0.394811499441683,40.2447740672653,"Both",6,0,0,"Co-parent","Some college or technical school","White","Private",NA,"11368",NA,"Months"
"254",3,12,1,2,5,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,1,1,1.34804645101011,137.411967305411,NA,NA,NA,NA,"Single Parent","High school degree/GED","Black/African American",NA,NA,"10030",NA,"Weeks"
"255",2,7,1,1,2,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,2,1,3,4,4,2,12,0.635299578878465,64.758721701745,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","Black/African American","Government",NA,"11210",NA,"Months"
"256",3,1,1,2,3,1,NA,NA,NA,1,1,"1",2,6,0,0,0,1,1,NA,1,2,1,2,2,1,1,2,4,4,2,8,0.539657282452529,55.0095056419814,"Paid",10,0,0,"Co-parent","Some college or technical school","Black/African American","Non-profit",NA,"11413",NA,"Weeks"
"257",2,2,1,2,3,1,NA,NA,NA,1,1,"3",2,0,8,4,0,2,1,NA,2,2,2,2,1,2,2,2,4,4,2,12,0.947338642877351,96.5661580316258,"Both",12,4,33,"Single Parent","Four year college or higher","Asian","Private",NA,"11209",NA,"Months"
"258",1,5,1,1,2,2,2,2,2,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,2,2,3,1,3,4,2,3,1.32784048465336,135.352289327469,"Did not take time off",NA,NA,NA,"Co-parent","High school degree/GED","American Indian/AN","Private",NA,"11208",NA,"Months"
"259",4,9,1,1,2,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,3,3,3,4,2,77,1.4338887482318,146.162228789657,"Did not take time off",NA,NA,NA,"Co-parent","No high school degree","Hispanic","Self-employed","My health issues","11232",NA,"Months"
"260",4,3,1,2,4,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,5,2.06665607799833,210.662827834042,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"18702",NA,"Months"
"261",2,9,1,1,3,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,4,NA,2,2,2,2,2,2,2,3,2,4,1,1,0.952605640860064,97.1030449868608,"Did not take time off",NA,NA,NA,"Single Parent","High school degree/GED","Hispanic","Private",NA,"10453",NA,"Months"
"262",3,3,1,2,3,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,4,4,4,2,77,1.71852692447778,175.176578954576,"Did not take time off",NA,NA,NA,"Co-parent","No high school degree","Hispanic","Self-employed","Chose to stay-at-home","10461",NA,"Months"
"263",1,10,1,1,2,1,NA,NA,NA,1,1,"3",2,12,12,0,0,1,1,NA,1,2,2,1,2,1,1,4,3,4,2,6,0.678486788950031,69.1609731923514,"Both",12,0,0,"Co-parent","Some college or technical school","Black/African American","Government",NA,"76549",NA,"Never"
"264",1,9,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,1,1,2,1,2,2,1,3,4,2,6,0.814833275148359,83.0593361824793,"Unpaid",3,NA,NA,"Co-parent","Four year college or higher","White","Government",NA,"11375",NA,"Months"
"265",2,8,1,1,2,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,1,3,4,2,77,0.531332229418393,54.1608984485978,"Did not take time off",NA,NA,NA,"Co-parent","High school degree/GED","White","Private","Chose to stay-at-home","11205",NA,"Months"
"266",77,12,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,3,2,1,1.89665787783468,193.334206030719,NA,NA,NA,NA,"Single Parent","No high school degree","Black/African American",NA,NA,"10035",NA,"Weeks"
"267",1,1,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,1,2,1,2,2,3,4,4,2,12,0.655329346985773,66.8004390611387,"Unpaid",20,NA,NA,"Co-parent","Four year college or higher","White","Private",NA,"11216",NA,"Months"
"268",2,7,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,1,2,2,2,1,1,4,4,2,2,0.744813582059582,75.9219383797253,"Unpaid",16,NA,NA,"Co-parent","High school degree/GED","Black/African American","Private",NA,"11212",NA,"Months"
"269",2,11,1,2,3,1,NA,NA,NA,1,1,"1",0,1,12,0,0,2,1,NA,2,2,2,2,2,1,2,3,4,4,2,12,0.793413894957552,80.8759698984201,"Paid",12,0,0,"Co-parent","Four year college or higher","White","Private",NA,"10128",NA,"Months"
"270",1,11,1,1,2,1,NA,NA,NA,1,1,"3",1,6,6,6,0,1,2,2,NA,NA,NA,NA,NA,NA,2,2,4,4,2,8,0.551662817034993,56.2332795885641,"Both",12,6,50,"Co-parent","Four year college or higher","White","Private","Chose to stay-at-home","11102",NA,"Still breastfeeding"
"271",3,7,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,1,1,1.45177926726547,147.985883616008,NA,NA,NA,NA,"Single Parent","No high school degree","White",NA,NA,"11368",NA,"Months"
"272",1,6,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,2,3,1.68406698756674,171.663934623501,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,"11207",NA,"Still breastfeeding"
"273",3,5,1,1,2,1,NA,NA,NA,1,1,"1",0,0,16,0,0,2,1,NA,1,1,2,2,2,1,2,4,4,4,2,12,1.16724540641621,118.982166752243,"Paid",16,0,0,"Co-parent","Four year college or higher","Asian","Private",NA,"11360",NA,"Never"
"274",2,12,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,1,77,1,77,1,1,4,4,2,11,0.268127328316087,27.3313309379284,"Unpaid",12,NA,NA,"Co-parent","Some college or technical school","Hispanic","Private",NA,"10040",NA,"Months"
"275",2,4,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,2,2,2.11691618184355,215.786048729858,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,"10472",NA,"Months"
"276",2,6,1,1,2,1,NA,NA,NA,1,1,"99",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,3,4,4,2,12,1.21739959035634,124.09459079271,NA,NA,NA,NA,"Co-parent","Four year college or higher","Asian","Private","Chose to stay-at-home","11231",NA,"Months"
"277",1,1,1,1,2,1,NA,NA,NA,1,1,"3",0,2,2,4,0,1,1,NA,1,2,1,2,2,2,1,1,3,4,2,1,0.491783512001863,50.1295336091005,"Both",6,4,67,"Co-parent","Some college or technical school","White","Private",NA,"11204",NA,"Months"
"278",2,12,1,2,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,1,2,2,1,2,2,3,4,4,1,7,0.47679409559685,48.601600209306,"Unpaid",12,NA,NA,"Co-parent","Some college or technical school","Black/African American","Self-employed",NA,"11208",NA,"Months"
"279",1,9,1,2,3,2,2,2,1,1,1,"1",6,77,6,6,6,1,1,NA,1,1,2,1,2,1,4,4,4,4,1,6,0.686127016813612,69.9397733150101,"Paid",16,6,38,"Single Parent","Some college or technical school","Black/African American","Government",NA,"11423",NA,"Never"
"280",2,8,1,1,2,1,NA,NA,NA,1,1,"1",2,0,12,0,0,1,1,NA,2,2,2,2,2,2,1,2,4,4,2,12,1.2891432338343,131.407718010677,"Paid",16,0,0,"Co-parent","Four year college or higher","Native Hawaiian/OPI","Private",NA,"11756",NA,"Less than 1 Week"
"281",1,9,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,1,2.22090314203618,226.385870986333,NA,NA,NA,NA,"Co-parent","High school degree/GED","Other",NA,NA,"11372",NA,"Months"
"282",4,5,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,2,1,2,2,1,2,3,1,3,4,2,1,0.62386613853185,63.5932636940331,"Unpaid",16,NA,NA,"Co-parent","No high school degree","Other","Self-employed",NA,"11226",NA,"Months"
"283",3,2,1,1,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,2,99,1.04171420663362,106.186250775158,NA,NA,NA,NA,"Co-parent","High school degree/GED","Black/African American",NA,NA,"10303",NA,"Months"
"284",1,6,1,2,3,1,NA,NA,NA,1,1,"1",4,6,0,0,0,2,1,NA,1,2,2,1,1,2,1,1,4,4,2,12,0.947338642877351,96.5661580316258,"Paid",10,0,0,"Co-parent","Four year college or higher","Asian","Private",NA,"11225",NA,"Months"
"285",3,9,1,1,2,1,NA,NA,NA,1,1,"3",2,6,1,3,0,1,1,NA,1,1,1,2,1,1,1,4,4,4,2,12,0.720958035373122,73.4902435379962,"Both",12,3,25,"Co-parent","Four year college or higher","White","Private",NA,"10128",NA,"Months"
"286",3,7,1,2,3,1,NA,NA,NA,1,1,"1",6,0,2,0,0,2,1,NA,1,2,2,2,1,1,1,4,4,4,2,8,0.972070869890134,99.0872165360445,"Paid",16,0,0,"Single Parent","High school degree/GED","Black/African American",NA,NA,"10460",NA,"Never"
"287",1,3,1,1,3,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,1,2,1,2,4,4,1,1,1.03073856239298,105.067457823757,"Did not take time off",NA,NA,NA,"Single Parent","Four year college or higher","Black/African American","Private",NA,"19142",NA,"Still breastfeeding"
"288",3,6,1,1,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,2,3,3,4,4,2,99,0.634617358617121,64.6891801602227,"Unpaid",8,NA,NA,"Single Parent","Some college or technical school","Black/African American","Government",NA,"11203",NA,"Months"
"289",1,7,1,1,2,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,2,2,77,1,2,1,2,1,4,4,2,99,1.18200138486074,120.486304852277,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","White","Government",NA,"10312",NA,"Never"
"290",1,8,1,1,2,1,NA,NA,NA,1,1,"3",9,6,0,3,3,1,1,NA,1,1,1,1,2,1,1,3,4,4,2,12,0.459748156238018,46.8640368930637,"Both",9,3,33,"Co-parent","Four year college or higher","Hispanic","Private",NA,"11514",NA,"Months"
"291",2,2,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,99,1.8440723008354,187.973940008769,NA,NA,NA,NA,"Co-parent","Four year college or higher","White",NA,NA,"11229",NA,"Months"
"292",3,5,1,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,12,1.60948571878489,164.061556486035,NA,NA,NA,NA,"Co-parent","Some college or technical school","White",NA,NA,"11223",NA,"Months"
"293",1,99,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,99,2.14887088389334,219.043324078218,NA,NA,NA,NA,"Co-parent","Four year college or higher","White",NA,NA,"11226",2,"Months"
"294",3,9,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,77,2.11582532766617,215.674853438002,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,"11377",NA,"Months"
"295",2,11,1,1,2,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,2,2,4,4,2,77,0.510980650761242,52.0863776047837,"Did not take time off",NA,NA,NA,"Co-parent","Some college or technical school","Black/African American","Private","Currently a student","11428",NA,"Still breastfeeding"
"296",3,11,1,1,3,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,3,4,4,2,1,0.885519387946263,90.2646649109175,"Did not take time off",NA,NA,NA,"Co-parent","Some college or technical school","Other","Private","Chose to stay-at-home","10455",NA,"Months"
"297",3,12,1,1,3,1,NA,NA,NA,1,1,"3",12,3,6,4,0,1,1,NA,1,1,2,1,1,1,2,3,4,4,2,12,0.947338642877351,96.5661580316258,"Both",16,4,25,"Co-parent","Four year college or higher","Other","Private",NA,"11207",2,"Months"
"298",1,2,1,2,4,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,2,2,1,2,1,2,1,1,3,4,2,5,0.801701975746411,81.7208083574582,"Did not take time off",NA,NA,NA,"Co-parent","High school degree/GED","Black/African American","Government",NA,"11212",NA,"Months"
"299",2,99,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,2,2,2,1,1,2,4,4,2,99,0.397104384263654,40.4784973295132,"Unpaid",16,NA,NA,"Co-parent","Four year college or higher","White","Private",NA,"11367",NA,"Months"
"300",1,1,1,2,5,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,1,2,3,3,1,8,0.885519387946263,90.2646649109175,"Unpaid",12,NA,NA,"Co-parent","High school degree/GED","Other","Private","No affordable childcare","10455",NA,"Months"
"301",2,11,1,1,3,1,NA,NA,NA,1,1,"1",12,4,2,0,0,2,1,NA,1,1,2,1,1,1,3,3,4,4,2,12,0.947338642877351,96.5661580316258,"Paid",16,0,0,"Co-parent","Four year college or higher","Asian","Private",NA,"11234",NA,"Weeks"
"302",2,4,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,1,6,0.664609167612922,67.7463696762613,NA,NA,NA,NA,"Co-parent","High school degree/GED","Other",NA,NA,"10460",NA,"Still breastfeeding"
"303",1,9,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,1,2.33232873332361,237.743943770473,NA,NA,NA,NA,"Co-parent","Some college or technical school","White",NA,NA,"10301",NA,"Months"
"304",1,12,1,1,2,1,NA,NA,NA,1,1,"3",0,5,5,9,0,1,1,NA,1,2,77,2,2,2,2,3,4,4,2,12,0.793413894957552,80.8759698984201,"Both",16,9,56,"Co-parent","Four year college or higher","White","Private",NA,"10016",NA,"Months"
"305",3,10,1,1,2,1,NA,NA,NA,1,1,"1",0,0,0,0,0,1,1,NA,1,2,2,2,2,2,1,4,4,4,2,12,0.665684681004034,67.8560012181309,"Paid",8,0,0,"Co-parent","Four year college or higher","White","Private",NA,"11205",NA,"Months"
"306",4,1,1,1,3,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,2,2,2,2,1,2,1,3,4,4,2,1,0.348940214793018,35.568923719767,"Did not take time off",NA,NA,NA,"Co-parent","No high school degree","White","Self-employed",NA,"11368",NA,"Months"
"307",3,9,1,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,2,1,0.679870860712948,69.3020573691554,NA,NA,NA,NA,"Co-parent","High school degree/GED","Hispanic",NA,NA,"10457",NA,"Months"
"308",2,6,1,1,3,1,NA,NA,NA,1,1,"3",0,0,77,77,0,NA,1,NA,1,2,2,2,1,2,1,3,3,4,2,1,0.571795585552812,58.2854962071124,"Both",NA,NA,NA,"Co-parent","High school degree/GED","White","Non-profit",NA,"11205",NA,"Months"
"309",1,8,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,2,2,2,2,2,1,3,4,2,3,0.611777119817944,62.3609798635871,"Unpaid",6,NA,NA,"Co-parent","High school degree/GED","White","Private",NA,"11218",NA,"Still breastfeeding"
"310",3,8,1,1,3,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,4,NA,2,2,2,2,1,1,5,5,3,3,2,2,0.972070869890134,99.0872165360445,"Did not take time off",NA,NA,NA,"Co-parent","Some college or technical school","Black/African American","Non-profit",NA,"10468",NA,"Months"
"311",1,3,1,1,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,4,4,2,4,2,1,0.709695377912642,72.3421941383841,"Unpaid",NA,NA,NA,"Co-parent","Four year college or higher","Other","Private","My health issues","10452",NA,"Months"
"312",1,5,1,2,3,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,1,4,4,2,9,0.517969959802243,52.7988268714316,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","White","Self-employed","Chose to stay-at-home","11216",2,"Months"
"313",1,9,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,2,4,1.63504404590344,166.666822801423,NA,NA,NA,NA,"Co-parent","Some college or technical school","White",NA,NA,"11213",NA,"Months"
"314",1,12,2,1,2,1,NA,NA,NA,1,1,"3",0,0,12,2,0,1,1,NA,1,1,2,2,1,1,1,1,4,4,2,12,1.02767890981895,104.755574743502,"Both",14,2,14,"Co-parent","Four year college or higher","Asian","Private",NA,"10036",NA,"Months"
"315",3,2,1,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,77,3,3,1,1,1.67954258508148,171.20274350808,NA,NA,NA,NA,"Co-parent","No high school degree","White",NA,NA,"07036",NA,"Months"
"316",2,10,1,2,3,1,NA,NA,NA,1,1,"3",8,0,0,0,0,1,1,NA,1,2,2,1,2,1,1,2,4,4,2,12,0.628748899947383,64.0909838219179,"Both",8,0,0,"Co-parent","Four year college or higher","Black/African American","Private",NA,"11369",NA,"Weeks"
"317",2,3,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,1,1,2,4,4,2,12,0.578860535240066,59.0056558386384,"Unpaid",6,NA,NA,"Co-parent","Four year college or higher","White","Government",NA,"11372",NA,"Months"
"318",1,4,1,1,4,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,2,2,1,2,2,2,5,3,4,4,2,2,0.457036401125413,46.5876164443511,"Unpaid",12,NA,NA,"Co-parent","High school degree/GED","White","Private",NA,"11219",NA,"Months"
"319",2,12,1,1,2,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,3,2,2,77,2,9,0.548813560595063,55.9428430591145,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","White","Government","Currently a student","11214",NA,"Months"
"320",2,12,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,6,1.18104108790436,120.388417799591,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,"11208",NA,"Months"
"321",1,11,1,2,3,1,NA,NA,NA,1,1,"3",1,2,8,2,0,1,1,NA,1,1,2,2,2,1,1,3,4,4,2,9,0.438189548061021,44.6664785227657,"Both",11,2,18,"Co-parent","Some college or technical school","Black/African American","Private",NA,"30253",NA,"Months"
"322",1,2,1,1,2,1,NA,NA,NA,1,1,"3",3,77,9,0,0,1,1,NA,1,1,1,1,2,2,1,1,4,4,2,12,0.853754642769328,87.0267526546691,"Both",24,0,0,"Single Parent","Four year college or higher","White","Private",NA,"10021",NA,"Months"
